%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
1651857040846043541,1,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040846370746,2,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040848899996,3,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040852559628,4,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040853494489,5,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040855211088,6,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040855517684,7,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040858927618,8,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040859987472,9,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040861582533,10,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040862750805,11,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040864140263,12,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040865974272,13,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040866612680,14,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040867471700,15,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040868121597,16,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040868770597,17,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040869717874,18,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040870798944,19,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040871601899,20,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040874663252,21,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040876137096,22,0,,-0.0302243884653,0.0,0.5,0.0,0.0
1651857040878638697,23,0,,-0.02789943479,0.0,0.5,0.0,0.0
1651857040880986345,25,0,,-0.02789943479,0.0,0.5,0.0,0.0
1651857040882595518,26,0,,-0.02789943479,0.0,0.5,0.0,0.0
1651857040888476301,28,0,,-0.02789943479,0.0,0.5,0.0,0.0
1651857040888944595,29,0,,-0.02789943479,0.0,0.5,0.0,0.0
1651857040890560137,30,0,,-0.02789943479,0.0,0.5,0.0,0.0
1651857040891314675,31,0,,-0.02789943479,0.0,0.5,0.0,0.0
1651857040895440106,33,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040897313347,34,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040897362212,35,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040898249520,36,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040899517088,37,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040900205002,38,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040901159382,39,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040903406196,40,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040905977559,41,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040908310070,42,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040910999866,44,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040911673123,45,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040912480974,46,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040913354585,48,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040915629272,49,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040916722759,50,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040919344554,51,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040919655630,52,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040922593909,53,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040923417952,54,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040925841120,55,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040927522583,57,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040928683846,58,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040930414718,59,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040932840926,60,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040933380453,62,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040934529909,63,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040936311693,65,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040937279929,66,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040940542661,67,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040941129421,68,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040943288202,69,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040944869535,70,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040949071927,73,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040951751931,74,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040954491936,75,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040955928403,76,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040956487642,77,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040956996129,78,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040958615927,79,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040958665015,81,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040963000177,83,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040966387231,85,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040967367244,86,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040968695326,88,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040969462024,89,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040969983919,90,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040970973916,91,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040975759004,94,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040977316049,96,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040979370668,97,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040983839112,100,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040986750575,101,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040988926892,102,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040990255358,103,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040990451233,104,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040992603453,105,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040993883662,106,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857040995169600,107,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041001671735,110,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041003301004,111,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041004396411,112,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041009341405,113,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041012678922,116,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041012747083,117,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041015858324,119,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041017059588,120,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041021355742,124,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041024766668,126,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041027072266,127,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041028573886,129,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041029359529,130,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041032962137,131,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041033014362,132,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041034848050,133,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041036011746,134,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041037995517,135,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041038042717,136,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041039056779,137,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041041613485,138,0,,-0.0325493402779,0.0,0.5,0.0,0.0
1651857041042584378,139,0,,-0.0255744829774,0.0,0.5,0.0,0.0
1651857041043580455,140,0,,-0.0255744829774,0.0,0.5,0.0,0.0
1651857041044194767,141,0,,-0.0255744829774,0.0,0.5,0.0,0.0
1651857041047085558,143,0,,-0.0255744829774,0.0,0.5,0.0,0.0
