# 2fa48520-266f-4e56-8c52-9b4f2e24ff5c
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -8.9702567; 5.7334290; 1.5892362; -0.0028513; 36.9680658; -2.4916890
1.9995085; -10.9540288; 5.7014753; 1.5850552; -0.0013847; 36.8330502; -4.5696259
3.9990169; -12.9480987; 5.6748782; 1.5836839; 0.0000170; 36.5841437; -6.2808464
5.9985254; -14.9628644; 5.6480187; 1.5849538; 0.0010654; 36.2392379; -8.8050411
7.9980338; -16.9573690; 5.6176420; 1.5871077; 0.0010980; 35.7501168; -10.0099907
9.9975423; -18.9600136; 5.5827331; 1.5893685; 0.0011698; 35.1858030; -10.6783735
11.9970507; -20.9657660; 5.5430527; 1.5918235; 0.0012789; 34.5736567; -10.9649383
13.9965592; -22.9661787; 5.4984151; 1.5943971; 0.0012997; 33.9335934; -10.9857604
15.9960676; -24.9693710; 5.4484239; 1.5972611; 0.0018170; 33.2799718; -11.0421392
17.9955761; -26.9646297; 5.3912365; 1.6020257; 0.0029801; 32.6097964; -11.1932782
19.9950846; -28.9694990; 5.3230518; 1.6070679; 0.0017291; 31.9160886; -11.1023619
21.9945930; -30.9637758; 5.2483221; 1.6090023; 0.0005435; 31.2127887; -11.0404433
23.9941015; -32.9592616; 5.1711015; 1.6098750; 0.0003270; 30.4973320; -10.8937540
25.9936099; -34.9588868; 5.0922308; 1.6106316; 0.0004924; 29.7745353; -10.6397419
27.9931184; -36.9543307; 5.0115462; 1.6118967; 0.0008448; 29.0512382; -10.3553275
29.9926268; -38.9508957; 4.9273857; 1.6141348; 0.0013953; 28.3295484; -9.8959965
31.9921353; -40.9481328; 4.8374704; 1.6177199; 0.0022206; 27.6222565; -9.4364135
33.9916438; -42.9443029; 4.7387184; 1.6230391; 0.0031452; 26.9305158; -8.9526089
35.9911522; -44.9412304; 4.6273180; 1.6303481; 0.0041598; 26.2573998; -8.1413120
37.9906607; -46.9358549; 4.4990387; 1.6402303; 0.0057515; 25.6299395; -7.5704731
39.9901691; -48.9297671; 4.3477711; 1.6533292; 0.0073339; 25.0323660; -7.0238158
41.9896776; -50.9217614; 4.1672379; 1.6695423; 0.0088742; 24.4648931; -6.1764036
43.9891860; -52.9089705; 3.9515763; 1.6887404; 0.0103342; 23.9547793; -5.7300882
45.9886945; -54.8919138; 3.6948458; 1.7108129; 0.0117012; 23.4716154; -5.3252974
47.9882029; -56.8687759; 3.3917277; 1.7355050; 0.0129791; 23.0134912; -4.8515028
49.9877114; -58.8362026; 3.0376864; 1.7625436; 0.0140722; 22.5880396; -4.6340244
51.9872199; -60.7931236; 2.6284121; 1.7917260; 0.0150870; 22.1740387; -4.4460659
53.9867283; -62.7374326; 2.1601526; 1.8228553; 0.0160417; 21.7694304; -4.2520061
55.9862368; -64.6647268; 1.6300559; 1.8558741; 0.0169918; 21.3753188; -4.0919903
57.9857452; -66.5729260; 1.0348097; 1.8907891; 0.0179469; 20.9890523; -3.9541705
59.9852537; -68.4597603; 0.3710590; 1.9276382; 0.0188953; 20.6089185; -3.7981636
61.9847621; -70.3185403; -0.3628449; 1.9663547; 0.0198417; 20.2370601; -3.6943166
63.9842706; -72.1467524; -1.1698550; 2.0069525; 0.0208029; 19.8686931; -3.6034584
65.9837791; -73.9420884; -2.0533047; 2.0495408; 0.0217553; 19.5026838; -3.5211541
67.9832875; -75.6942660; -3.0123065; 2.0939199; 0.0226604; 19.1382737; -3.4285428
69.9827960; -77.4018658; -4.0499885; 2.1400742; 0.0235575; 18.7766536; -3.3348702
71.9823044; -79.0624673; -5.1695208; 2.1881897; 0.0244968; 18.4181030; -3.0957478
73.9818129; -80.6613789; -6.3656367; 2.2383815; 0.0258019; 18.0788985; -2.4928579
75.9813213; -82.1989607; -7.6446306; 2.2912948; 0.0269789; 17.8010559; -1.9242892
77.9808298; -83.6661833; -9.0055267; 2.3462679; 0.0279696; 17.5835811; -1.1242744
79.9803382; -85.0522871; -10.4430704; 2.4027393; 0.0285555; 17.4552666; -0.9539636
81.9798467; -86.3554760; -11.9588560; 2.4603669; 0.0290507; 17.3456454; -0.7533374
83.9793552; -87.5691038; -13.5484521; 2.5187511; 0.0292915; 17.2585865; -1.0169247
85.9788636; -88.6841527; -15.2014820; 2.5778708; 0.0301304; 17.1403649; -1.2731276
87.9783721; -89.7024793; -16.9265075; 2.6389885; 0.0307988; 16.9911992; -2.1780660
89.9778805; -90.6089673; -18.7034279; 2.7008887; 0.0312609; 16.7329234; -2.8795810
91.9773890; -91.4046059; -20.5375491; 2.7638218; 0.0316418; 16.3852139; -3.4738808
93.9768974; -92.0840697; -22.4227576; 2.8276649; 0.0320993; 15.9556612; -3.6093204
95.9764059; -92.6378816; -24.3381025; 2.8931973; 0.0338178; 15.4967542; -3.5891800
97.9759144; -93.0634285; -26.2978290; 2.9629886; 0.0358135; 15.0265166; -3.7838682
99.9754228; -93.3456978; -28.2709903; 3.0368351; 0.0382751; 14.5142843; -3.7434158
101.9749313; -93.4769644; -30.2693746; 3.1160191; 0.0408728; 13.9890838; -3.7574170
103.9744397; -93.4442589; -32.2682508; -3.0821661; 0.0442654; 13.4412979; -3.6765744
105.9739482; -93.2351182; -34.2545762; -2.9900199; 0.0478383; 12.8827717; -3.5685883
107.9734566; -92.8366319; -36.2153952; -2.8911857; 0.0508028; 12.3164509; -3.4401672
109.9729651; -92.2459054; -38.1084100; -2.7846803; 0.0572971; 11.7446871; -3.2856572
111.9724735; -91.4313454; -39.9493049; -2.6636947; 0.0621743; 11.1713149; -4.0889766
113.9719820; -90.4071879; -41.6471124; -2.5297971; 0.0740660; 10.4137596; -3.8846793
115.9714905; -89.1218130; -43.1993848; -2.3649142; 0.0895590; 9.6390607; -1.0836180
117.9709989; -87.6127886; -44.4821502; -2.1852487; 0.0915379; 9.4115931; -0.9603024
119.9705074; -85.8678513; -45.4839987; -1.9976143; 0.0948078; 9.2053147; -0.8100803
121.9700158; -83.9732655; -46.1390891; -1.8105188; 0.0931956; 9.0276406; -0.7862567
123.9695243; -81.9998739; -46.4253209; -1.6153772; 0.1045742; 8.8517818; -0.5738932
125.9690327; -79.9714513; -46.2934001; -1.3942935; 0.1121791; 8.7211829; -0.5369940
127.9685412; -78.0922408; -45.7299426; -1.1589982; 0.1295976; 8.5971846; 1.5527584
129.9680497; -76.3503387; -44.6941779; -0.9219268; 0.0974215; 8.9510385; 1.8310736
131.9675581; -74.8842774; -43.3777426; -0.7689882; 0.0629602; 9.3511275; 1.9412905
133.9670666; -73.5811570; -41.8426299; -0.6378731; 0.0653151; 9.7573991; 2.4085153
135.9665750; -72.5049639; -40.1840894; -0.5169159; 0.0546614; 10.2390689; 2.9163112
137.9660835; -71.6063467; -38.4052222; -0.4241152; 0.0381688; 10.7935587; 4.1906195
139.9655919; -70.8432670; -36.5577673; -0.3651352; 0.0206337; 11.5437978; 4.8289127
141.9651004; -70.1574914; -34.6814503; -0.3410967; 0.0045025; 12.3519298; 5.5847930
143.9646088; -69.4881560; -32.7959984; -0.3456555; -0.0090182; 13.2251220; 4.2837882
145.9641173; -68.7866587; -30.9262521; -0.3763983; -0.0216465; 13.8576619; 2.6338332
147.9636258; -68.0041380; -29.0861886; -0.4318399; -0.0338394; 14.2326223; -0.1765408
149.9631342; -67.0985575; -27.3027858; -0.5120390; -0.0463356; 14.2077988; -1.0602958
151.9626427; -66.0375675; -25.6093910; -0.6068825; -0.0463458; 14.0577881; -1.1670200
153.9621511; -64.8228659; -24.0200596; -0.6978253; -0.0452154; 13.8908054; -0.9108697
155.9616596; -63.4702863; -22.5488928; -0.7894301; -0.0464213; 13.7590658; -0.9239456
157.9611680; -61.9872410; -21.2091430; -0.8829657; -0.0470092; 13.6241336; -0.7014128
159.9606765; -60.3839505; -20.0140811; -0.9778419; -0.0475004; 13.5208008; 1.2173429
161.9601850; -58.6761821; -18.9748525; -1.0692426; -0.0439885; 13.6996434; 1.4411562
163.9596934; -56.8829444; -18.0894811; -1.1540233; -0.0407134; 13.9083945; 1.6497595
165.9592019; -55.0255229; -17.3537096; -1.2322168; -0.0376255; 14.1435800; 1.8262169
167.9587103; -53.1155165; -16.7587657; -1.3044037; -0.0344981; 14.3994419; 2.0991514
169.9582188; -51.1705467; -16.2972878; -1.3702384; -0.0314179; 14.6880383; 2.5025601
171.9577272; -49.2007992; -15.9589625; -1.4302307; -0.0286524; 15.0248544; 3.4207110
173.9572357; -47.2092969; -15.7316908; -1.4818335; -0.0222787; 15.4733878; 4.0068609
175.9567441; -45.2138234; -15.5938332; -1.5194853; -0.0152532; 15.9827793; 4.9040612
177.9562526; -43.2172822; -15.5166913; -1.5422656; -0.0074255; 16.5849528; 5.4105875
179.9557611; -41.2119762; -15.4693473; -1.5497598; -0.0001908; 17.2249148; 3.8552133
